Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Library-HIVIND62Logic.json	1145	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	253	38	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND63Logic.json	1127	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	191	33	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND64Logic.json	1111	7	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	263	37	0	0	0	0	13	0	0
fsh-generated/resources/Library-HIVIND65Logic.json	1083	7	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	233	35	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND66Logic.json	1151	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	257	37	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND67Logic.json	1133	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	224	35	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND68Logic.json	1153	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	278	38	0	0	0	0	14	0	0
fsh-generated/resources/Library-HIVIND69Logic.json	1129	8	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	254	35	0	0	0	0	13	0	1
fsh-generated/resources/Library-HIVIND6Logic.json	1039	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	177	32	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND70Logic.json	1098	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	229	36	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND71Logic.json	1080	7	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	195	33	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND72Logic.json	1077	8	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	248	37	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND73Logic.json	1093	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	194	33	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND74Logic.json	1153	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	175	32	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND75Logic.json	1135	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	158	31	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND76Logic.json	1117	7	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	229	36	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND77Logic.json	1099	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	216	34	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND78Logic.json	1181	8	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	220	36	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND79Logic.json	1163	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	205	34	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND7Logic.json	1076	8	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	213	34	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND80Logic.json	1170	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	167	32	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND81Logic.json	1152	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	154	30	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND82Logic.json	1144	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	165	32	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND83Logic.json	1182	8	0	0	1	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	168	31	0	0	0	0	7	0	0
